ts,code,description,lat,long,cost
1/9/11 22:55,3AF,Robbery - Street,39.35971,-76.58029,59000
1/9/11 23:23,1F,Homicide,39.31706,-76.64989,441300
1/9/11 23:23,1F,Homicide,39.31706,-76.64989,441300
1/10/11 1:10,3AF,Robbery - Street,39.30701,-76.64235,59000
1/10/11 10:20,3AF,Robbery - Street,39.26058,-76.63541,59000
1/10/11 12:45,3CF,Robbery - Commercial,39.34606,-76.60963,59000
1/10/11 15:17,3AF,Robbery - Street,39.34499,-76.64838,59000
1/10/11 17:57,4A,Agg. Assault,39.24646,-76.62891,59000
1/10/11 20:13,4A,Agg. Assault,39.35167,-76.56758,59000
1/10/11 20:45,3JF,Robbery - Residence,39.2775,-76.54561,59000
1/10/11 21:30,3CF,Robbery - Commercial,39.33972,-76.66656,59000
1/10/11 21:30,3CF,Robbery - Commercial,39.33972,-76.66656,59000
1/10/11 21:46,1F,Homicide,39.32536,-76.58596,441300
1/10/11 23:20,4A,Agg. Assault,39.25266,-76.64668,59000
1/10/11 23:41,1F,Homicide,39.29567,-76.63715,441300
1/11/11 1:14,3AF,Robbery - Street,39.32965,-76.68245,59000
1/11/11 6:34,3GF,Robbery - Commercial,39.27761,-76.61248,59000
1/11/11 8:26,3CF,Robbery - Commercial,39.29131,-76.6101,59000
1/11/11 8:50,3CF,Robbery - Commercial,39.31428,-76.5718,59000
1/11/11 15:05,4A,Agg. Assault,39.3322,-76.67199,59000
1/11/11 15:05,9S,Shooting,39.3322,-76.67199,59000
1/11/11 15:10,3CF,Robbery - Commercial,39.33744,-76.55111,59000
1/11/11 16:55,4A,Agg. Assault,39.31994,-76.59408,59000
1/11/11 16:55,9S,Shooting,39.31994,-76.59533,59000
1/11/11 20:30,3NF,Robbery - Street,39.2666,-76.63173,59000
1/11/11 22:30,3AF,Robbery - Street,39.29184,-76.67831,59000
1/11/11 22:50,3AF,Robbery - Street,39.35971,-76.58029,59000
1/13/11 5:10,3AF,Robbery - Street,39.31638,-76.61678,59000
1/13/11 7:50,3AF,Robbery - Street,39.3327,-76.60378,59000
1/13/11 7:50,3AF,Robbery - Street,39.3327,-76.60378,59000
1/13/11 13:20,3AF,Robbery - Street,39.31081,-76.63872,59000
1/13/11 14:13,3AF,Robbery - Street,39.29537,-76.64154,59000
1/13/11 22:42,3AF,Robbery - Street,39.29281,-76.57618,59000
1/13/11 23:03,3AF,Robbery - Street,39.29051,-76.65024,59000
1/13/11 23:10,4A,Agg. Assault,39.246,-76.62037,59000
1/14/11 0:40,3CF,Robbery - Commercial,39.26664,-76.65245,59000
1/14/11 15:00,3LF,Robbery - Commercial,39.28753,-76.615,59000
1/14/11 15:53,4A,Agg. Assault,39.30683,-76.58719,59000
1/14/11 22:00,3JF,Robbery - Residence,39.3446,-76.60652,59000
1/14/11 22:00,3JF,Robbery - Residence,39.3446,-76.60652,59000
1/14/11 23:19,4A,Agg. Assault,39.24871,-76.63136,59000
1/15/11 1:01,3AF,Robbery - Street,39.35671,-76.564,59000
1/15/11 2:20,4A,Agg. Assault,39.29012,-76.6286,59000
1/15/11 14:14,3AF,Robbery - Street,39.3097,-76.6437,59000
1/15/11 21:07,4A,Agg. Assault,39.35641,-76.60532,59000
1/15/11 21:07,4A,Agg. Assault,39.35641,-76.60532,59000
1/15/11 21:07,4A,Agg. Assault,39.35641,-76.60532,59000
1/15/11 22:32,3AF,Robbery - Street,39.25359,-76.62584,59000
1/15/11 23:00,3AJF,Robbery - Carjacking,39.30436,-76.63571,59000
1/15/11 23:00,3AF,Robbery - Street,39.32897,-76.69193,59000
1/15/11 23:08,9S,Shooting,39.32897,-76.69193,59000
1/16/11 4:20,3CF,Robbery - Commercial,39.2928,-76.59982,59000
1/16/11 19:45,3AF,Robbery - Street,39.2495,-76.62194,59000
1/16/11 20:46,3CF,Robbery - Commercial,39.27358,-76.53133,59000
1/16/11 22:44,3CF,Robbery - Commercial,39.33756,-76.63474,59000
1/17/11 1:55,3AF,Robbery - Street,39.28201,-76.61313,59000
1/17/11 18:42,4A,Agg. Assault,39.25624,-76.6446,59000
1/17/11 18:42,9S,Shooting,39.25628,-76.64457,59000
1/17/11 19:00,3AF,Robbery - Street,39.29066,-76.67823,59000
1/17/11 19:00,3AF,Robbery - Street,39.29066,-76.67823,59000
1/17/11 19:00,3AF,Robbery - Street,39.29066,-76.67823,59000
1/17/11 20:34,4A,Agg. Assault,39.24909,-76.62954,59000
1/17/11 20:34,4A,Agg. Assault,39.24909,-76.62954,59000
1/17/11 20:34,9S,Shooting,39.24909,-76.62954,59000
1/17/11 20:34,9S,Shooting,39.24909,-76.62954,59000
1/17/11 21:57,3AF,Robbery - Street,39.24649,-76.62503,59000
1/17/11 21:57,3AF,Robbery - Street,39.24649,-76.62503,59000
1/17/11 23:28,3AF,Robbery - Street,39.29946,-76.64012,59000
1/18/11 0:25,3AF,Robbery - Street,39.30533,-76.59809,59000
1/18/11 9:42,3CF,Robbery - Commercial,39.29877,-76.58462,59000
1/18/11 12:04,4A,Agg. Assault,39.28121,-76.57579,59000
1/18/11 12:04,4A,Agg. Assault,39.28121,-76.57579,59000
1/18/11 15:24,3JF,Robbery - Residence,39.24449,-76.62144,59000
1/18/11 16:30,3AJF,Robbery - Carjacking,39.27924,-76.56851,59000
1/18/11 21:10,9S,Shooting,39.28964,-76.60816,59000
1/19/11 2:10,3AJF,Robbery - Carjacking,39.2998,-76.64935,59000
1/19/11 2:20,3AF,Robbery - Street,39.29243,-76.63625,59000
1/19/11 11:51,3JF,Robbery - Residence,39.36499,-76.5421,59000
1/19/11 11:51,3JF,Robbery - Residence,39.36499,-76.5421,59000
1/19/11 17:00,3AF,Robbery - Street,39.29345,-76.65784,59000
1/19/11 20:10,4A,Agg. Assault,39.31539,-76.65423,59000
1/19/11 21:40,3AF,Robbery - Street,39.3253,-76.56895,59000
1/19/11 22:13,9S,Shooting,39.30673,-76.64976,59000
1/19/11 22:13,4A,Agg. Assault,39.3102,-76.64814,59000
1/20/11 1:03,3AF,Robbery - Street,39.2975,-76.61713,59000
1/20/11 2:00,3AF,Robbery - Street,39.32101,-76.55088,59000
1/20/11 4:10,3AF,Robbery - Street,39.28097,-76.67235,59000
1/20/11 7:45,4A,Agg. Assault,39.29932,-76.66899,59000
1/20/11 13:27,1F,Homicide,39.24435,-76.62693,441300
1/20/11 17:45,3AF,Robbery - Street,39.3489,-76.65564,59000
1/20/11 23:00,4A,Agg. Assault,39.33774,-76.70169,59000
1/21/11 10:00,3CF,Robbery - Commercial,39.34011,-76.66684,59000
1/21/11 14:22,3AF,Robbery - Street,39.33609,-76.6847,59000
1/21/11 23:05,3AF,Robbery - Street,39.22828,-76.58878,59000
1/21/11 23:05,3AF,Robbery - Street,39.22828,-76.58878,59000
1/21/11 23:05,3AF,Robbery - Street,39.22828,-76.58878,59000
1/21/11 23:34,3AF,Robbery - Street,39.30075,-76.65248,59000
1/22/11 1:20,4A,Agg. Assault,39.23707,-76.6131,59000
1/22/11 5:30,4A,Agg. Assault,39.30658,-76.65116,59000
1/22/11 5:30,4A,Agg. Assault,39.30658,-76.65116,59000
1/22/11 5:50,9S,Shooting,39.30658,-76.65116,59000
1/22/11 6:00,3AF,Robbery - Street,39.29729,-76.63053,59000
1/22/11 6:42,3AF,Robbery - Street,39.37125,-76.56703,59000
1/22/11 16:28,1F,Homicide,39.25001,-76.61912,441300
1/22/11 17:45,3AF,Robbery - Street,39.28242,-76.59696,59000
1/22/11 17:45,3AF,Robbery - Street,39.28242,-76.59696,59000
1/22/11 18:11,3CF,Robbery - Commercial,39.31868,-76.65399,59000
1/22/11 18:30,3CF,Robbery - Commercial,39.33951,-76.54957,59000
1/22/11 20:00,3CF,Robbery - Commercial,39.29514,-76.67935,59000
